carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CO06-TITLE","original title plate","/packages/co06","native 4:5; no crop","A million followers can create extraordinary reach while remaining a rented route to people—subject to platform rules, access loss, algorithmic distribution, and incomplete portability.","RN Collins","Title plate for A Million Followers Is a Rented Institution.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-106420","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/106420","full object with generous field","Construction evidence can outlive the operating house—but only if the physical object and record stay paired.","Gift of Miss Eva Drexel Dahlgren, 1976","Light-colored linen and cotton dress dated around 1903, displayed frontally.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CO06-DIAGRAM-1","original evidence diagram","/packages/co06","native 4:5 diagram; preserve labels and evidence footer","01 · REACH — What can the platform do exceptionally well?. Discovery, social proof, conversation, cultural participation, and rapid distribution are real institutional advantages. The audit begins by naming that value rather than treating dependency as failure.","Concept and editorial design: RN Collins","Diagram mapping what can the platform do exceptionally well? within A Million Followers Is a Rented Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CO06-DIAGRAM-2","original evidence diagram","/packages/co06","native 4:5 diagram; preserve labels and evidence footer","02 · ACCESS — Who can enter and recover the account?. Record the account owner, administrators, authentication method, recovery contacts, device access, and escalation route. A display name or founder face does not prove operational control.","Concept and editorial design: RN Collins","Diagram mapping who can enter and recover the account? within A Million Followers Is a Rented Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CO06-DIAGRAM-3","original evidence diagram","/packages/co06","native 4:5 diagram; preserve labels and evidence footer","03 · PORTABILITY — What can leave with consent and context?. Map content originals, captions, contacts, customer records, permissions, analytics exports, and conversation history. Preserve only what may lawfully and ethically be retained.","Concept and editorial design: RN Collins","Diagram mapping what can leave with consent and context? within A Million Followers Is a Rented Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CO06-DIAGRAM-4","original evidence diagram","/packages/co06","native 4:5 diagram; preserve labels and evidence footer","04 · ROUTE — How many ways can the institution reach people?. Build at least one controlled destination and one consent-based contact route. Redundancy should improve continuity without manipulating audiences or copying data beyond its stated purpose.","Concept and editorial design: RN Collins","Diagram mapping how many ways can the institution reach people? within A Million Followers Is a Rented Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S32","canonical public record card","https://www.uspto.gov/about-us/events/fashion-beauty-and-intellectual-property-trademarks","typographic record excerpt; do not reproduce protected imagery","Fashion, Beauty, and Intellectual Property: Trademarks is retained as evidence, education, reporting or rights context.","United States Patent and Trademark Office","Source card for Fashion, Beauty, and Intellectual Property: Trademarks, credited to United States Patent and Trademark Office.","Government page may be cited; do not assume event media or graphics are public domain.","LINK_ONLY"
"B","1","provocation","CO06-TITLE","original title plate","/packages/co06","native 4:5; no crop","A million followers can create extraordinary reach while remaining a rented route to people—subject to platform rules, access loss, algorithmic distribution, and incomplete portability.","RN Collins","Title plate for A Million Followers Is a Rented Institution.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CO06-DIAGRAM-3","original evidence diagram","/packages/co06","native 4:5 diagram; preserve labels and evidence footer","03 · PORTABILITY — What can leave with consent and context?. Map content originals, captions, contacts, customer records, permissions, analytics exports, and conversation history. Preserve only what may lawfully and ethically be retained.","Concept and editorial design: RN Collins","Diagram mapping what can leave with consent and context? within A Million Followers Is a Rented Institution.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
