carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CO12-TITLE","original title plate","/packages/co12","native 4:5; no crop","Link-only publication can respect rights, but a culture whose evidence lives only behind unstable links inherits broken memory, platform power, and unequal access.","RN Collins","Title plate for The Cost of Link-Only Culture.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-loc-tofr-52127","rights-cleared collection object","https://www.loc.gov/resource/tofr.52127/","full object with generous field","The frame is not neutral delivery: pose, setting, crop, light, garment, commission, and publication context combine to manufacture a public fashion meaning.","Toni Frissell Collection, Library of Congress Prints and Photographs Division","Gloria Vanderbilt Cooper photographed by Toni Frissell for Vogue in 1966.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
"A","3","claim","CO12-DIAGRAM-1","original evidence diagram","/packages/co12","native 4:5 diagram; preserve labels and evidence footer","01 · DEPEND — Which memory exists only elsewhere?. Inventory source URL, platform, account owner, identifier, format, access condition, geography, login, cost, rights, and evidence use.","Concept and editorial design: RN Collins","Diagram mapping which memory exists only elsewhere? within The Cost of Link-Only Culture.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CO12-DIAGRAM-2","original evidence diagram","/packages/co12","native 4:5 diagram; preserve labels and evidence footer","02 · PERMIT — What may lawfully be retained?. Separate public visibility, download ability, license, authorized embed, preservation copy, quotation, metadata, and link. Review contracts and jurisdiction where uncertain.","Concept and editorial design: RN Collins","Diagram mapping what may lawfully be retained? within The Cost of Link-Only Culture.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CO12-DIAGRAM-3","original evidence diagram","/packages/co12","native 4:5 diagram; preserve labels and evidence footer","03 · DESCRIBE — What survives without the media?. Write a faithful factual description, creator and institution credit, date, identifier, evidentiary relevance, rights status, and retrieval history without substituting invented imagery.","Concept and editorial design: RN Collins","Diagram mapping what survives without the media? within The Cost of Link-Only Culture.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CO12-DIAGRAM-4","original evidence diagram","/packages/co12","native 4:5 diagram; preserve labels and evidence footer","04 · RECOVER — What happens after failure?. Schedule link checks, preserve redirects and replacement records, document loss, contact stewards, update citations, and keep correction history.","Concept and editorial design: RN Collins","Diagram mapping what happens after failure? within The Cost of Link-Only Culture.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S15","canonical public record card","https://sparc.fitnyc.edu/repositories/2/archival_objects/3962","typographic record excerpt; do not reproduce protected imagery","FIT oral histories collection, 1967–2023 is retained as evidence, education, reporting or rights context.","FIT Gladys Marcus Library","Source card for FIT oral histories collection, 1967–2023, credited to FIT Gladys Marcus Library.","Finding-aid metadata may be cited; media is governed item by item.","LINK_ONLY"
"B","1","provocation","CO12-TITLE","original title plate","/packages/co12","native 4:5; no crop","Link-only publication can respect rights, but a culture whose evidence lives only behind unstable links inherits broken memory, platform power, and unequal access.","RN Collins","Title plate for The Cost of Link-Only Culture.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CO12-DIAGRAM-3","original evidence diagram","/packages/co12","native 4:5 diagram; preserve labels and evidence footer","03 · DESCRIBE — What survives without the media?. Write a faithful factual description, creator and institution credit, date, identifier, evidentiary relevance, rights status, and retrieval history without substituting invented imagery.","Concept and editorial design: RN Collins","Diagram mapping what survives without the media? within The Cost of Link-Only Culture.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","CO12-DIAGRAM-4","original evidence diagram","/packages/co12","native 4:5 diagram; preserve labels and evidence footer","04 · RECOVER — What happens after failure?. Schedule link checks, preserve redirects and replacement records, document loss, contact stewards, update citations, and keep correction history.","Concept and editorial design: RN Collins","Diagram mapping what happens after failure? within The Cost of Link-Only Culture.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"B","5","case","S15","canonical public record card","https://sparc.fitnyc.edu/repositories/2/archival_objects/3962","typographic record excerpt; do not reproduce protected imagery","FIT oral histories collection, 1967–2023 is retained as evidence, education, reporting or rights context.","FIT Gladys Marcus Library","Source card for FIT oral histories collection, 1967–2023, credited to FIT Gladys Marcus Library.","Finding-aid metadata may be cited; media is governed item by item.","LINK_ONLY"
"B","6","decision","CO12-COUNTERPOINT","original counterpoint plate","/packages/co12#counterpoint","native 4:5; no crop","Preservation rhetoric can become a justification for copying creators’ work without consent. Conversely, rights uncertainty can erase minoritized histories first. The response is resourced permission work, accurate metadata, lawful preservation, and transparent absence.","RN Collins","Counterpoint card for The Cost of Link-Only Culture.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","7","tool","CO12-FIELD-10","original fieldwork plate","/tools#co12-tool","native 4:5; no crop","Classify permitted copy, embed, excerpt, metadata-only, link-only, and no-use.","RN Collins","Fieldwork prompt for The Cost of Link-Only Culture.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","8","source trail","OBJ-loc-tofr-52127","rights-cleared collection object","https://www.loc.gov/resource/tofr.52127/","full object with generous field","The frame is not neutral delivery: pose, setting, crop, light, garment, commission, and publication context combine to manufacture a public fashion meaning.","Toni Frissell Collection, Library of Congress Prints and Photographs Division","Gloria Vanderbilt Cooper photographed by Toni Frissell for Vogue in 1966.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
