carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CO02-TITLE","original title plate","/packages/co02","native 4:5; no crop","The power to approve a silhouette, campaign, or brand aesthetic is not automatically the power to appoint the board, control a vote, receive the economics, sell an asset, or survive termination.","RN Collins","Title plate for Creative Control Is Not Economic Control.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-loc-gtfy-00717","rights-cleared collection object","https://www.loc.gov/resource/gtfy.00717/","full object with generous field","One frame holds a named designer, a model, a photographer, a collection, and an institutional record—separate roles that public shorthand often compresses.","Bernard Gotfryd photograph collection, Library of Congress Prints and Photographs Division","Fashion designer Liz Claiborne standing beside a model in a Library of Congress photograph by Bernard Gotfryd.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
"A","3","claim","CO02-DIAGRAM-1","original evidence diagram","/packages/co02","native 4:5 diagram; preserve labels and evidence footer","01 · CREATIVE — What can be approved?. Define the domain: collection, silhouette, casting, campaign, store environment, brand aesthetic, collaborator, or final release. “Creative control” without subject, threshold, and override mechanism is a slogan, not an operational record.","Concept and editorial design: RN Collins","Diagram mapping what can be approved? within Creative Control Is Not Economic Control.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CO02-DIAGRAM-2","original evidence diagram","/packages/co02","native 4:5 diagram; preserve labels and evidence footer","02 · GOVERNANCE — Who directs the company?. For a Delaware corporation, start with the certificate, bylaws, board composition, delegated authority, and §141. Then inspect committees, reserved matters, stockholder rights, and actual agreements rather than assuming the creative title controls the enterprise.","Concept and editorial design: RN Collins","Diagram mapping who directs the company? within Creative Control Is Not Economic Control.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CO02-DIAGRAM-3","original evidence diagram","/packages/co02","native 4:5 diagram; preserve labels and evidence footer","03 · ECONOMICS — Who receives value and bears risk?. Equity ownership, voting rights, salary, royalty, bonus, license income, liquidation preference, debt covenants, and sale proceeds are distinct economic or control mechanisms. Public proxy and annual-report disclosures can demonstrate some layers while leaving private arrangements unknown.","Concept and editorial design: RN Collins","Diagram mapping who receives value and bears risk? within Creative Control Is Not Economic Control.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CO02-DIAGRAM-4","original evidence diagram","/packages/co02","native 4:5 diagram; preserve labels and evidence footer","04 · FAILURE TEST — What happens after conflict or departure?. Map removal, termination, good-reason provisions, cure periods, post-term use, transition duties, archive access, approval survival, and dispute procedure. Authority that exists only while a title is held may disappear differently from voting power or asset ownership.","Concept and editorial design: RN Collins","Diagram mapping what happens after conflict or departure? within Creative Control Is Not Economic Control.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S36","canonical public record card","https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/rl-20260328.htm","typographic record excerpt; do not reproduce protected imagery","Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and diagram facts without implying image rights.","QUOTE_LINK"
"A","8","action","S37","canonical public record card","https://www.sec.gov/Archives/edgar/data/1037038/000114036126025788/ny20071304x1_def14a.htm","typographic record excerpt; do not reproduce protected imagery","Ralph Lauren 2026 Proxy Statement is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Ralph Lauren 2026 Proxy Statement, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and diagram facts.","QUOTE_LINK"
"B","1","provocation","CO02-TITLE","original title plate","/packages/co02","native 4:5; no crop","The power to approve a silhouette, campaign, or brand aesthetic is not automatically the power to appoint the board, control a vote, receive the economics, sell an asset, or survive termination.","RN Collins","Title plate for Creative Control Is Not Economic Control.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CO02-DIAGRAM-3","original evidence diagram","/packages/co02","native 4:5 diagram; preserve labels and evidence footer","03 · ECONOMICS — Who receives value and bears risk?. Equity ownership, voting rights, salary, royalty, bonus, license income, liquidation preference, debt covenants, and sale proceeds are distinct economic or control mechanisms. Public proxy and annual-report disclosures can demonstrate some layers while leaving private arrangements unknown.","Concept and editorial design: RN Collins","Diagram mapping who receives value and bears risk? within Creative Control Is Not Economic Control.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","CO02-DIAGRAM-4","original evidence diagram","/packages/co02","native 4:5 diagram; preserve labels and evidence footer","04 · FAILURE TEST — What happens after conflict or departure?. Map removal, termination, good-reason provisions, cure periods, post-term use, transition duties, archive access, approval survival, and dispute procedure. Authority that exists only while a title is held may disappear differently from voting power or asset ownership.","Concept and editorial design: RN Collins","Diagram mapping what happens after conflict or departure? within Creative Control Is Not Economic Control.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S36","canonical public record card","https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/rl-20260328.htm","typographic record excerpt; do not reproduce protected imagery","Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and diagram facts without implying image rights.","QUOTE_LINK"
"B","5","case","S37","canonical public record card","https://www.sec.gov/Archives/edgar/data/1037038/000114036126025788/ny20071304x1_def14a.htm","typographic record excerpt; do not reproduce protected imagery","Ralph Lauren 2026 Proxy Statement is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Ralph Lauren 2026 Proxy Statement, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and diagram facts.","QUOTE_LINK"
