carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CA05-TITLE","original title plate","/packages/ca05","native 4:5; no crop","A publicist can operate as institutional infrastructure by deciding what becomes legible, to whom, through which relationships and records—but narrative power must be governed through evidence, approvals, credit, access, correction, and ethical limits.","RN Collins","Title plate for The Publicist as Institutional Infrastructure.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-loc-tofr-08422","rights-cleared collection object","https://www.loc.gov/resource/tofr.08422/","full object with generous field","The image is a distinct authored work around fashion; the clothes, staging, model, commission, publication, and photograph do not collapse into one ownership question.","Toni Frissell Collection, Library of Congress Prints and Photographs Division","Two models wearing evening fashions in a 1956 Toni Frissell photograph made for Sports Illustrated.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
"A","3","claim","CA05-DIAGRAM-1","original evidence diagram","/packages/ca05","native 4:5 diagram; preserve labels and evidence footer","01 · FRAME — What is the house asking the public to understand?. Write the evidenced proposition, intended audience, context, proof, exclusions, affected people, and correction condition. Separate a useful frame from a claim the available record cannot support.","Concept and editorial design: RN Collins","Diagram mapping what is the house asking the public to understand? within The Publicist as Institutional Infrastructure.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CA05-DIAGRAM-2","original evidence diagram","/packages/ca05","native 4:5 diagram; preserve labels and evidence footer","02 · RELATE — Which relationships carry the frame?. Map journalists, editors, critics, stylists, talent, institutions, buyers, creators, community authorities, platforms, and internal spokespeople. Record the purpose, relevant disclosure, access terms, embargo, conflicts, and who is excluded.","Concept and editorial design: RN Collins","Diagram mapping which relationships carry the frame? within The Publicist as Institutional Infrastructure.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CA05-DIAGRAM-3","original evidence diagram","/packages/ca05","native 4:5 diagram; preserve labels and evidence footer","03 · GOVERN — Who may say, approve, reuse, and retain what?. Define scope of services, spokesperson authority, substantiation, review time, confidential information, identity and image permissions, media and territory, archive copies, post-term use, credit, correction, takedown, and termination from the actual agreement.","Concept and editorial design: RN Collins","Diagram mapping who may say, approve, reuse, and retain what? within The Publicist as Institutional Infrastructure.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CA05-DIAGRAM-4","original evidence diagram","/packages/ca05","native 4:5 diagram; preserve labels and evidence footer","04 · REMEMBER — What enters the institutional record?. Preserve final releases, pitches where appropriate, media lists under proper privacy controls, approvals, corrections, placements, refusals, captions, credits, rights evidence, and decision context. The archive should record how public meaning was made—not only the resulting coverage.","Concept and editorial design: RN Collins","Diagram mapping what enters the institutional record? within The Publicist as Institutional Infrastructure.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S39","canonical public record card","https://www.archives.gov/records-mgmt/policy/universalermrequirements","typographic record excerpt; do not reproduce protected imagery","Universal Electronic Records Management Requirements, Version 3 is retained as evidence, education, reporting or rights context.","U.S. National Archives and Records Administration","Source card for Universal Electronic Records Management Requirements, Version 3, credited to U.S. National Archives and Records Administration.","Government resource; link/download for education and do not imply endorsement.","LINK_ONLY"
"A","8","action","S78","canonical public record card","https://www.sec.gov/Archives/edgar/data/1001250/000090951811000147/mm04-0511_8ke101.htm","typographic record excerpt; do not reproduce protected imagery","Consulting Agreement concerning Estée Lauder brand services and persona uses is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Consulting Agreement concerning Estée Lauder brand services and persona uses, credited to U.S. Securities and Exchange Commission.","Public SEC filing; quote narrowly and use only as evidence of one negotiated allocation, not a universal public-relations model.","QUOTE_LINK"
"B","1","provocation","CA05-TITLE","original title plate","/packages/ca05","native 4:5; no crop","A publicist can operate as institutional infrastructure by deciding what becomes legible, to whom, through which relationships and records—but narrative power must be governed through evidence, approvals, credit, access, correction, and ethical limits.","RN Collins","Title plate for The Publicist as Institutional Infrastructure.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CA05-DIAGRAM-3","original evidence diagram","/packages/ca05","native 4:5 diagram; preserve labels and evidence footer","03 · GOVERN — Who may say, approve, reuse, and retain what?. Define scope of services, spokesperson authority, substantiation, review time, confidential information, identity and image permissions, media and territory, archive copies, post-term use, credit, correction, takedown, and termination from the actual agreement.","Concept and editorial design: RN Collins","Diagram mapping who may say, approve, reuse, and retain what? within The Publicist as Institutional Infrastructure.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","CA05-DIAGRAM-4","original evidence diagram","/packages/ca05","native 4:5 diagram; preserve labels and evidence footer","04 · REMEMBER — What enters the institutional record?. Preserve final releases, pitches where appropriate, media lists under proper privacy controls, approvals, corrections, placements, refusals, captions, credits, rights evidence, and decision context. The archive should record how public meaning was made—not only the resulting coverage.","Concept and editorial design: RN Collins","Diagram mapping what enters the institutional record? within The Publicist as Institutional Infrastructure.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S39","canonical public record card","https://www.archives.gov/records-mgmt/policy/universalermrequirements","typographic record excerpt; do not reproduce protected imagery","Universal Electronic Records Management Requirements, Version 3 is retained as evidence, education, reporting or rights context.","U.S. National Archives and Records Administration","Source card for Universal Electronic Records Management Requirements, Version 3, credited to U.S. National Archives and Records Administration.","Government resource; link/download for education and do not imply endorsement.","LINK_ONLY"
"B","5","case","S78","canonical public record card","https://www.sec.gov/Archives/edgar/data/1001250/000090951811000147/mm04-0511_8ke101.htm","typographic record excerpt; do not reproduce protected imagery","Consulting Agreement concerning Estée Lauder brand services and persona uses is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Consulting Agreement concerning Estée Lauder brand services and persona uses, credited to U.S. Securities and Exchange Commission.","Public SEC filing; quote narrowly and use only as evidence of one negotiated allocation, not a universal public-relations model.","QUOTE_LINK"
"B","6","decision","CA05-COUNTERPOINT","original counterpoint plate","/packages/ca05#counterpoint","native 4:5; no crop","Publicity can confer legitimacy while reproducing gatekeeping, extraction, favoritism, undisclosed influence, or historical erasure. More coverage is not automatically stronger institutional infrastructure. A responsible system must track who gains voice, who bears reputational risk, which claims are evidenced, and whether correction remains possible.","RN Collins","Counterpoint card for The Publicist as Institutional Infrastructure.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","7","tool","CA05-FIELD-10","original fieldwork plate","/tools#ca05-tool","native 4:5; no crop","Map every relationship carrying the story, including access, embargo, compensation or material connection, conflict, exclusion, and disclosure.","RN Collins","Fieldwork prompt for The Publicist as Institutional Infrastructure.","Original publication graphic","ORIGINAL_DIAGRAM"
