carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CA03-TITLE","original title plate","/packages/ca03","native 4:5; no crop","The patternmaker is not a neutral copying machine: pattern work carries design intention into geometry, fit, construction, repeatability, and the body through skilled decisions that deserve explicit evidence, authority, and credit.","RN Collins","Title plate for The Patternmaker Behind the Designer.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-106420","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/106420","full object with generous field","Construction evidence can outlive the operating house—but only if the physical object and record stay paired.","Gift of Miss Eva Drexel Dahlgren, 1976","Light-colored linen and cotton dress dated around 1903, displayed frontally.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CA03-DIAGRAM-1","original evidence diagram","/packages/ca03","native 4:5 diagram; preserve labels and evidence footer","01 · BRIEF — What is the design asking the pattern to do?. Record silhouette, balance, ease, movement, material behavior, size range, construction, finish, cost, time, accessibility, and the non-negotiable visual idea. A sketch alone rarely carries all of this.","Concept and editorial design: RN Collins","Diagram mapping what is the design asking the pattern to do? within The Patternmaker Behind the Designer.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CA03-DIAGRAM-2","original evidence diagram","/packages/ca03","native 4:5 diagram; preserve labels and evidence footer","02 · JUDGMENT — Which decisions belong to the patternmaker?. Log the alteration, reason, evidence, person deciding, person approving, affected sizes and materials, and whether the change is technical, aesthetic, safety-related, or commercial. Skilled translation should remain attributable.","Concept and editorial design: RN Collins","Diagram mapping which decisions belong to the patternmaker? within The Patternmaker Behind the Designer.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CA03-DIAGRAM-3","original evidence diagram","/packages/ca03","native 4:5 diagram; preserve labels and evidence footer","03 · FIT — Whose body becomes the standard?. Identify the block, fit model or measurement source, sample size, grading method, movement test, wearer feedback, and excluded bodies. A technically repeatable pattern can still institutionalize a narrow body assumption.","Concept and editorial design: RN Collins","Diagram mapping whose body becomes the standard? within The Patternmaker Behind the Designer.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CA03-DIAGRAM-4","original evidence diagram","/packages/ca03","native 4:5 diagram; preserve labels and evidence footer","04 · RETAIN — Can the knowledge survive the specialist’s absence?. Preserve pattern version, annotation, toile images where permitted, fitting decisions, known failures, material constraints, maker credit, access rules, and a route for future questions. The file is evidence; narration explains the judgment.","Concept and editorial design: RN Collins","Diagram mapping can the knowledge survive the specialist’s absence? within The Patternmaker Behind the Designer.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S39","canonical public record card","https://www.archives.gov/records-mgmt/policy/universalermrequirements","typographic record excerpt; do not reproduce protected imagery","Universal Electronic Records Management Requirements, Version 3 is retained as evidence, education, reporting or rights context.","U.S. National Archives and Records Administration","Source card for Universal Electronic Records Management Requirements, Version 3, credited to U.S. National Archives and Records Administration.","Government resource; link/download for education and do not imply endorsement.","LINK_ONLY"
"B","1","provocation","CA03-TITLE","original title plate","/packages/ca03","native 4:5; no crop","The patternmaker is not a neutral copying machine: pattern work carries design intention into geometry, fit, construction, repeatability, and the body through skilled decisions that deserve explicit evidence, authority, and credit.","RN Collins","Title plate for The Patternmaker Behind the Designer.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CA03-DIAGRAM-3","original evidence diagram","/packages/ca03","native 4:5 diagram; preserve labels and evidence footer","03 · FIT — Whose body becomes the standard?. Identify the block, fit model or measurement source, sample size, grading method, movement test, wearer feedback, and excluded bodies. A technically repeatable pattern can still institutionalize a narrow body assumption.","Concept and editorial design: RN Collins","Diagram mapping whose body becomes the standard? within The Patternmaker Behind the Designer.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
