carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CN10-TITLE","original title plate","/packages/cn10","native 4:5; no crop","A fashion house may continue culturally after its operating company closes through objects, marks, debts, contracts, archives, people, methods, images, and contested memory—but none automatically stays together.","RN Collins","Title plate for The House After the House.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-157996","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/157996","full object with generous field","A less-remembered house remains researchable because its object record survives.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art; Gift of Marion Litchfield, 1950","Pale silk afternoon dress by Jeanne Hallée, shown from the front at a three-quarter angle.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CN10-DIAGRAM-1","original evidence diagram","/packages/cn10","native 4:5 diagram; preserve labels and evidence footer","01 · CLOSE — What ended and when?. Record entity, business operation, employment, production, sales, licenses, domains, accounts, premises, and public announcement separately with authoritative dates.","Concept and editorial design: RN Collins","Diagram mapping what ended and when? within The House After the House.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CN10-DIAGRAM-2","original evidence diagram","/packages/cn10","native 4:5 diagram; preserve labels and evidence footer","02 · DISTRIBUTE — Where did assets and obligations go?. Track inventory, samples, cash, debt, contracts, marks, copyrights, data, domains, archives, equipment, and records by governing transaction and custodian.","Concept and editorial design: RN Collins","Diagram mapping where did assets and obligations go? within The House After the House.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CN10-DIAGRAM-3","original evidence diagram","/packages/cn10","native 4:5 diagram; preserve labels and evidence footer","03 · REMEMBER — Who preserves the history?. Map museums, archives, former workers, collaborators, customers, press, communities, and collectors with rights, privacy, correction, and provenance boundaries.","Concept and editorial design: RN Collins","Diagram mapping who preserves the history? within The House After the House.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CN10-DIAGRAM-4","original evidence diagram","/packages/cn10","native 4:5 diagram; preserve labels and evidence footer","04 · NAME — How should later work describe continuity?. Distinguish revival, license, acquisition, homage, research, exhibition, successor, and unrelated reuse; attach the evidence for every relationship claim.","Concept and editorial design: RN Collins","Diagram mapping how should later work describe continuity? within The House After the House.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S15","canonical public record card","https://sparc.fitnyc.edu/repositories/2/archival_objects/3962","typographic record excerpt; do not reproduce protected imagery","FIT oral histories collection, 1967–2023 is retained as evidence, education, reporting or rights context.","FIT Gladys Marcus Library","Source card for FIT oral histories collection, 1967–2023, credited to FIT Gladys Marcus Library.","Finding-aid metadata may be cited; media is governed item by item.","LINK_ONLY"
"A","8","action","S25","canonical public record card","https://artsandculture.google.com/partner/momu","typographic record excerpt; do not reproduce protected imagery","MoMu — Fashion Museum Antwerp is retained as evidence, education, reporting or rights context.","MoMu / Google Arts & Culture","Source card for MoMu — Fashion Museum Antwerp, credited to MoMu / Google Arts & Culture.","Official embed or link only unless an object-level license permits reuse.","LINK_ONLY"
"B","1","provocation","CN10-TITLE","original title plate","/packages/cn10","native 4:5; no crop","A fashion house may continue culturally after its operating company closes through objects, marks, debts, contracts, archives, people, methods, images, and contested memory—but none automatically stays together.","RN Collins","Title plate for The House After the House.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CN10-DIAGRAM-3","original evidence diagram","/packages/cn10","native 4:5 diagram; preserve labels and evidence footer","03 · REMEMBER — Who preserves the history?. Map museums, archives, former workers, collaborators, customers, press, communities, and collectors with rights, privacy, correction, and provenance boundaries.","Concept and editorial design: RN Collins","Diagram mapping who preserves the history? within The House After the House.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
