carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CA09-TITLE","original title plate","/packages/ca09","native 4:5; no crop","A house transfers tacit knowledge by pairing records with situated practice: demonstration, attempt, correction, comparison, narration, and trusted authority. The goal is not to extract every secret, but to preserve what collaborators may ethically carry.","RN Collins","Title plate for How a Fashion House Transfers Tacit Knowledge.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-159172","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/159172","full object with generous field","The ensemble carries material decisions across components; the surviving object cannot narrate every demonstration, correction, and embodied judgment that produced them.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art; Gift of Edith Gardiner, 1926","House of Worth ensemble from 1893 in dark silk with jet and metal ornament, shown frontally.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CA09-DIAGRAM-1","original evidence diagram","/packages/ca09","native 4:5 diagram; preserve labels and evidence footer","01 · SHOW — What must be demonstrated?. Identify judgments that resist prose: hand position, tension, sequence, sound, resistance, drape, finishing threshold, and the moment an expert stops. Record only with informed permission.","Concept and editorial design: RN Collins","Diagram mapping what must be demonstrated? within How a Fashion House Transfers Tacit Knowledge.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CA09-DIAGRAM-2","original evidence diagram","/packages/ca09","native 4:5 diagram; preserve labels and evidence footer","02 · TRY — Where does the learner practice?. Design a bounded attempt using sacrificial material, time for repetition, and permission to fail. Apprenticeship is labor and education; compensation, safety, access, and jurisdiction must be addressed.","Concept and editorial design: RN Collins","Diagram mapping where does the learner practice? within How a Fashion House Transfers Tacit Knowledge.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CA09-DIAGRAM-3","original evidence diagram","/packages/ca09","native 4:5 diagram; preserve labels and evidence footer","03 · CORRECT — How is judgment calibrated?. Preserve paired examples, expert commentary, acceptable variation, non-negotiable failure, and the reason for correction. Record disagreement instead of forcing false consensus.","Concept and editorial design: RN Collins","Diagram mapping how is judgment calibrated? within How a Fashion House Transfers Tacit Knowledge.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CA09-DIAGRAM-4","original evidence diagram","/packages/ca09","native 4:5 diagram; preserve labels and evidence footer","04 · RETURN — Who retains authority over the knowledge?. Define consent, attribution, confidentiality, access, benefit, revocation, cultural authority, archive custody, and successor permissions. Not all knowledge should become a company asset or public lesson.","Concept and editorial design: RN Collins","Diagram mapping who retains authority over the knowledge? within How a Fashion House Transfers Tacit Knowledge.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S21","canonical public record card","https://artsandculture.google.com/partner/fondazione-gianfranco-ferre","typographic record excerpt; do not reproduce protected imagery","Gianfranco Ferré Research Center is retained as evidence, education, reporting or rights context.","Politecnico di Milano / Google Arts & Culture","Source card for Gianfranco Ferré Research Center, credited to Politecnico di Milano / Google Arts & Culture.","Use an official embed only if offered; otherwise link only.","LINK_ONLY"
"A","8","action","S22","canonical public record card","https://artsandculture.google.com/story/WQUhce5OUFK2Xg","typographic record excerpt; do not reproduce protected imagery","Gianfranco Ferré Research Center is retained as evidence, education, reporting or rights context.","Politecnico di Milano / Google Arts & Culture","Source card for Gianfranco Ferré Research Center, credited to Politecnico di Milano / Google Arts & Culture.","Use an official embed only if offered; otherwise link only.","LINK_ONLY"
"B","1","provocation","CA09-TITLE","original title plate","/packages/ca09","native 4:5; no crop","A house transfers tacit knowledge by pairing records with situated practice: demonstration, attempt, correction, comparison, narration, and trusted authority. The goal is not to extract every secret, but to preserve what collaborators may ethically carry.","RN Collins","Title plate for How a Fashion House Transfers Tacit Knowledge.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CA09-DIAGRAM-3","original evidence diagram","/packages/ca09","native 4:5 diagram; preserve labels and evidence footer","03 · CORRECT — How is judgment calibrated?. Preserve paired examples, expert commentary, acceptable variation, non-negotiable failure, and the reason for correction. Record disagreement instead of forcing false consensus.","Concept and editorial design: RN Collins","Diagram mapping how is judgment calibrated? within How a Fashion House Transfers Tacit Knowledge.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
