carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CN07-TITLE","original title plate","/packages/cn07","native 4:5; no crop","Oral history becomes succession infrastructure when it preserves decision context, contradiction, sensory judgment, relationships, boundaries, and the narrator’s authority over access and use.","RN Collins","Title plate for The Oral History Is a Succession Document.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-loc-gtfy-00717","rights-cleared collection object","https://www.loc.gov/resource/gtfy.00717/","full object with generous field","One frame holds a named designer, a model, a photographer, a collection, and an institutional record—separate roles that public shorthand often compresses.","Bernard Gotfryd photograph collection, Library of Congress Prints and Photographs Division","Fashion designer Liz Claiborne standing beside a model in a Library of Congress photograph by Bernard Gotfryd.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
"A","3","claim","CN07-DIAGRAM-1","original evidence diagram","/packages/cn07","native 4:5 diagram; preserve labels and evidence footer","01 · PREPARE — Who should speak and under what conditions?. Define purpose, interviewer, narrator, consent, accessibility, language, compensation, privacy, cultural authority, distress protocol, topics declined, recording ownership, and withdrawal limits.","Concept and editorial design: RN Collins","Diagram mapping who should speak and under what conditions? within The Oral History Is a Succession Document.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CN07-DIAGRAM-2","original evidence diagram","/packages/cn07","native 4:5 diagram; preserve labels and evidence footer","02 · ELICIT — Which decisions cannot be read from files?. Ask for sensory thresholds, rejected options, relationship dynamics, exceptions, informal vocabulary, moments of uncertainty, and what the narrator does not know.","Concept and editorial design: RN Collins","Diagram mapping which decisions cannot be read from files? within The Oral History Is a Succession Document.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CN07-DIAGRAM-3","original evidence diagram","/packages/cn07","native 4:5 diagram; preserve labels and evidence footer","03 · CORRECT — Can narrators revise the record?. Provide transcript, contextual notes, name and pronoun checks, redaction, embargo, restriction, disagreement, and approval choices without promising control the archive cannot legally grant.","Concept and editorial design: RN Collins","Diagram mapping can narrators revise the record? within The Oral History Is a Succession Document.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CN07-DIAGRAM-4","original evidence diagram","/packages/cn07","native 4:5 diagram; preserve labels and evidence footer","04 · CONNECT — How does voice join the archive?. Bind recording, transcript, timecodes, people, objects, files, rights, access, preservation copies, migrations, and successor-use rules through stable identifiers.","Concept and editorial design: RN Collins","Diagram mapping how does voice join the archive? within The Oral History Is a Succession Document.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S10","canonical public record card","https://nmaahc.si.edu/object/nmaahc_2016.129.3.1a-.2a","typographic record excerpt; do not reproduce protected imagery","Joyce A. Bailey Oral History Interview is retained as evidence, education, reporting or rights context.","National Museum of African American History and Culture","Source card for Joyce A. Bailey Oral History Interview, credited to National Museum of African American History and Culture.","Usage Conditions Apply; permission is required for media reuse.","LINK_ONLY"
"B","1","provocation","CN07-TITLE","original title plate","/packages/cn07","native 4:5; no crop","Oral history becomes succession infrastructure when it preserves decision context, contradiction, sensory judgment, relationships, boundaries, and the narrator’s authority over access and use.","RN Collins","Title plate for The Oral History Is a Succession Document.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CN07-DIAGRAM-3","original evidence diagram","/packages/cn07","native 4:5 diagram; preserve labels and evidence footer","03 · CORRECT — Can narrators revise the record?. Provide transcript, contextual notes, name and pronoun checks, redaction, embargo, restriction, disagreement, and approval choices without promising control the archive cannot legally grant.","Concept and editorial design: RN Collins","Diagram mapping can narrators revise the record? within The Oral History Is a Succession Document.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
