carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","B08-TITLE","original title plate","/packages/b08","native 4:5; no crop","The person beside the name can carry finance, operations, relationships, governance, contradiction, and continuity—capacity that should be documented rather than erased as support.","RN Collins","Title plate for The Business Partner Beside the Name.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-loc-gtfy-00717","rights-cleared collection object","https://www.loc.gov/resource/gtfy.00717/","full object with generous field","One frame holds a named designer, a model, a photographer, a collection, and an institutional record—separate roles that public shorthand often compresses.","Bernard Gotfryd photograph collection, Library of Congress Prints and Photographs Division","Fashion designer Liz Claiborne standing beside a model in a Library of Congress photograph by Bernard Gotfryd.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
"A","3","claim","B08-DIAGRAM-1","original evidence diagram","/packages/b08","native 4:5 diagram; preserve labels and evidence footer","01 · CAPACITY — What burden leaves the founder?. Name the decisions, relationships, records, calendars, risks, and emotional labor the partner carries. Replace “business side” with observable work and consequences.","Concept and editorial design: RN Collins","Diagram mapping what burden leaves the founder? within The Business Partner Beside the Name.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","B08-DIAGRAM-2","original evidence diagram","/packages/b08","native 4:5 diagram; preserve labels and evidence footer","02 · AUTHORITY — What may each person decide?. Write decision rights as verb plus object, threshold, required consultation, override, evidence, and appeal. Separate custom from enforceable authority.","Concept and editorial design: RN Collins","Diagram mapping what may each person decide? within The Business Partner Beside the Name.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","B08-DIAGRAM-3","original evidence diagram","/packages/b08","native 4:5 diagram; preserve labels and evidence footer","03 · ECONOMICS — How are value and downside shared?. Map equity, votes, salary, royalty, bonus, expenses, guarantees, vesting, transfer, dilution, information, and exit separately. Public filings are examples, not templates.","Concept and editorial design: RN Collins","Diagram mapping how are value and downside shared? within The Business Partner Beside the Name.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","B08-DIAGRAM-4","original evidence diagram","/packages/b08","native 4:5 diagram; preserve labels and evidence footer","04 · BREAK — What happens when alignment ends?. Run deadlock, incapacity, departure, nonperformance, acquisition, founder conflict, and reputational crisis through the actual governance and contract records with qualified counsel.","Concept and editorial design: RN Collins","Diagram mapping what happens when alignment ends? within The Business Partner Beside the Name.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S35","canonical public record card","https://www.sec.gov/Archives/edgar/data/1116132/000111613226000018/tpr-20260627.htm","typographic record excerpt; do not reproduce protected imagery","Tapestry, Inc. Form 10-K for year ended June 27, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Tapestry, Inc. Form 10-K for year ended June 27, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and transform facts into original diagrams.","QUOTE_LINK"
"A","8","action","S36","canonical public record card","https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/rl-20260328.htm","typographic record excerpt; do not reproduce protected imagery","Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and diagram facts without implying image rights.","QUOTE_LINK"
"B","1","provocation","B08-TITLE","original title plate","/packages/b08","native 4:5; no crop","The person beside the name can carry finance, operations, relationships, governance, contradiction, and continuity—capacity that should be documented rather than erased as support.","RN Collins","Title plate for The Business Partner Beside the Name.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","B08-DIAGRAM-3","original evidence diagram","/packages/b08","native 4:5 diagram; preserve labels and evidence footer","03 · ECONOMICS — How are value and downside shared?. Map equity, votes, salary, royalty, bonus, expenses, guarantees, vesting, transfer, dilution, information, and exit separately. Public filings are examples, not templates.","Concept and editorial design: RN Collins","Diagram mapping how are value and downside shared? within The Business Partner Beside the Name.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","B08-DIAGRAM-4","original evidence diagram","/packages/b08","native 4:5 diagram; preserve labels and evidence footer","04 · BREAK — What happens when alignment ends?. Run deadlock, incapacity, departure, nonperformance, acquisition, founder conflict, and reputational crisis through the actual governance and contract records with qualified counsel.","Concept and editorial design: RN Collins","Diagram mapping what happens when alignment ends? within The Business Partner Beside the Name.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S35","canonical public record card","https://www.sec.gov/Archives/edgar/data/1116132/000111613226000018/tpr-20260627.htm","typographic record excerpt; do not reproduce protected imagery","Tapestry, Inc. Form 10-K for year ended June 27, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Tapestry, Inc. Form 10-K for year ended June 27, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and transform facts into original diagrams.","QUOTE_LINK"
"B","5","case","S36","canonical public record card","https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/rl-20260328.htm","typographic record excerpt; do not reproduce protected imagery","Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and diagram facts without implying image rights.","QUOTE_LINK"
"B","6","decision","B08-COUNTERPOINT","original counterpoint plate","/packages/b08#counterpoint","native 4:5; no crop","Celebrating the operational partner can obscure staff, workers, advisers, and communities who also carry the institution. Conversely, romanticizing founder chemistry can hide unequal economics or undocumented authority. Precision makes collaboration visible without pretending harmony.","RN Collins","Counterpoint card for The Business Partner Beside the Name.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","7","tool","B08-FIELD-10","original fieldwork plate","/tools#b08-tool","native 4:5; no crop","Attach corporate, contract, account, and practice evidence separately.","RN Collins","Fieldwork prompt for The Business Partner Beside the Name.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","8","source trail","OBJ-loc-gtfy-00717","rights-cleared collection object","https://www.loc.gov/resource/gtfy.00717/","full object with generous field","One frame holds a named designer, a model, a photographer, a collection, and an institutional record—separate roles that public shorthand often compresses.","Bernard Gotfryd photograph collection, Library of Congress Prints and Photographs Division","Fashion designer Liz Claiborne standing beside a model in a Library of Congress photograph by Bernard Gotfryd.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
