carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CO05-TITLE","original title plate","/packages/co05","native 4:5; no crop","Founder voting or board control can shape who appoints leaders and approves major corporate acts, but it cannot guarantee truthful archives, good design, worker voice, or permanent cultural legitimacy.","RN Collins","Title plate for Controlled Company, Controlled Story.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-loc-gtfy-00717","rights-cleared collection object","https://www.loc.gov/resource/gtfy.00717/","full object with generous field","One frame holds a named designer, a model, a photographer, a collection, and an institutional record—separate roles that public shorthand often compresses.","Bernard Gotfryd photograph collection, Library of Congress Prints and Photographs Division","Fashion designer Liz Claiborne standing beside a model in a Library of Congress photograph by Bernard Gotfryd.","Free to Use and Reuse / Library of Congress curated set","PUBLIC_DOMAIN_CC0"
"A","3","claim","CO05-DIAGRAM-1","original evidence diagram","/packages/co05","native 4:5 diagram; preserve labels and evidence footer","01 · VOTE — What does the vote actually reach?. Record security class, votes per share, ownership date, agreements, transfer limits, quorum, reserved matters, and the exact filing. Do not convert disclosed voting power into a claim about every creative decision.","Concept and editorial design: RN Collins","Diagram mapping what does the vote actually reach? within Controlled Company, Controlled Story.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CO05-DIAGRAM-2","original evidence diagram","/packages/co05","native 4:5 diagram; preserve labels and evidence footer","02 · BOARD — Who directs the corporation?. For a Delaware corporation, inspect certificate, bylaws, board composition, committee and delegation records with §141. Founder status alone is not a board rule.","Concept and editorial design: RN Collins","Diagram mapping who directs the corporation? within Controlled Company, Controlled Story.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CO05-DIAGRAM-3","original evidence diagram","/packages/co05","native 4:5 diagram; preserve labels and evidence footer","03 · STORY — Which systems shape public memory?. Map archive access, approval language, publicity, account control, historian or curator independence, contributor correction, and disputed records separately from corporate votes.","Concept and editorial design: RN Collins","Diagram mapping which systems shape public memory? within Controlled Company, Controlled Story.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CO05-DIAGRAM-4","original evidence diagram","/packages/co05","native 4:5 diagram; preserve labels and evidence footer","04 · CONSTRAINT — Who can challenge the controller?. Identify independent directors, contractual rights, worker and collaborator channels, law, fiduciary review, press scrutiny, archive policy, and correction routes without assuming any is effective in a particular company.","Concept and editorial design: RN Collins","Diagram mapping who can challenge the controller? within Controlled Company, Controlled Story.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S36","canonical public record card","https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/rl-20260328.htm","typographic record excerpt; do not reproduce protected imagery","Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026 is retained as evidence, education, reporting or rights context.","U.S. Securities and Exchange Commission","Source card for Ralph Lauren Corporation Form 10-K, fiscal year ended March 28, 2026, credited to U.S. Securities and Exchange Commission.","Public filing; quote narrowly and diagram facts without implying image rights.","QUOTE_LINK"
"B","1","provocation","CO05-TITLE","original title plate","/packages/co05","native 4:5; no crop","Founder voting or board control can shape who appoints leaders and approves major corporate acts, but it cannot guarantee truthful archives, good design, worker voice, or permanent cultural legitimacy.","RN Collins","Title plate for Controlled Company, Controlled Story.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CO05-DIAGRAM-3","original evidence diagram","/packages/co05","native 4:5 diagram; preserve labels and evidence footer","03 · STORY — Which systems shape public memory?. Map archive access, approval language, publicity, account control, historian or curator independence, contributor correction, and disputed records separately from corporate votes.","Concept and editorial design: RN Collins","Diagram mapping which systems shape public memory? within Controlled Company, Controlled Story.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
