carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","CN12-TITLE","original title plate","/packages/cn12","native 4:5; no crop","An institutional will is a coordinated set of decisions about authority, access, assets, archives, obligations, interpretation, privacy, and care—not a substitute for legal estate or corporate instruments.","RN Collins","Title plate for The Institutional Will.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-80430","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/80430","full object with generous field","An accession-quality record preserves a house object beyond the founder’s lifetime while keeping the object, maker attribution, and museum stewardship distinct.","Gift of James A. and Mary Elizabeth Kingsland, 1994","Elaborate House of Worth silk fancy dress costume with a fitted bodice, dark patterned skirt, and dramatic decorative sleeves, around 1893.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","CN12-DIAGRAM-1","original evidence diagram","/packages/cn12","native 4:5 diagram; preserve labels and evidence footer","01 · INTENT — What should happen—and why?. Write desired outcomes for company, name, work in progress, archive, public voice, teaching, licensing, philanthropy, privacy, dependents, and closure in plain language.","Concept and editorial design: RN Collins","Diagram mapping what should happen—and why? within The Institutional Will.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","CN12-DIAGRAM-2","original evidence diagram","/packages/cn12","native 4:5 diagram; preserve labels and evidence footer","02 · AUTHORITY — Which instrument can make it happen?. Map corporate documents, contracts, employment terms, IP records, wills or trusts, powers, beneficiary designations, data policies, archive agreements, and jurisdiction-specific requirements with counsel.","Concept and editorial design: RN Collins","Diagram mapping which instrument can make it happen? within The Institutional Will.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","CN12-DIAGRAM-3","original evidence diagram","/packages/cn12","native 4:5 diagram; preserve labels and evidence footer","03 · STEWARD — Who acts, who substitutes, who reviews?. Name primary and alternate decision-makers by function; address conflicts, expertise, compensation, access, accountability, dissent, cultural authority, and removal.","Concept and editorial design: RN Collins","Diagram mapping who acts, who substitutes, who reviews? within The Institutional Will.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","CN12-DIAGRAM-4","original evidence diagram","/packages/cn12","native 4:5 diagram; preserve labels and evidence footer","04 · REHEARSE — Does the plan work in practice?. Run incapacity, death, departure, sale, closure, dispute, data loss, platform failure, preservation emergency, and public controversy; record fixes and review dates.","Concept and editorial design: RN Collins","Diagram mapping does the plan work in practice? within The Institutional Will.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S39","canonical public record card","https://www.archives.gov/records-mgmt/policy/universalermrequirements","typographic record excerpt; do not reproduce protected imagery","Universal Electronic Records Management Requirements, Version 3 is retained as evidence, education, reporting or rights context.","U.S. National Archives and Records Administration","Source card for Universal Electronic Records Management Requirements, Version 3, credited to U.S. National Archives and Records Administration.","Government resource; link/download for education and do not imply endorsement.","LINK_ONLY"
"B","1","provocation","CN12-TITLE","original title plate","/packages/cn12","native 4:5; no crop","An institutional will is a coordinated set of decisions about authority, access, assets, archives, obligations, interpretation, privacy, and care—not a substitute for legal estate or corporate instruments.","RN Collins","Title plate for The Institutional Will.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","CN12-DIAGRAM-3","original evidence diagram","/packages/cn12","native 4:5 diagram; preserve labels and evidence footer","03 · STEWARD — Who acts, who substitutes, who reviews?. Name primary and alternate decision-makers by function; address conflicts, expertise, compensation, access, accountability, dissent, cultural authority, and removal.","Concept and editorial design: RN Collins","Diagram mapping who acts, who substitutes, who reviews? within The Institutional Will.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","CN12-DIAGRAM-4","original evidence diagram","/packages/cn12","native 4:5 diagram; preserve labels and evidence footer","04 · REHEARSE — Does the plan work in practice?. Run incapacity, death, departure, sale, closure, dispute, data loss, platform failure, preservation emergency, and public controversy; record fixes and review dates.","Concept and editorial design: RN Collins","Diagram mapping does the plan work in practice? within The Institutional Will.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"B","5","case","S39","canonical public record card","https://www.archives.gov/records-mgmt/policy/universalermrequirements","typographic record excerpt; do not reproduce protected imagery","Universal Electronic Records Management Requirements, Version 3 is retained as evidence, education, reporting or rights context.","U.S. National Archives and Records Administration","Source card for Universal Electronic Records Management Requirements, Version 3, credited to U.S. National Archives and Records Administration.","Government resource; link/download for education and do not imply endorsement.","LINK_ONLY"
"B","6","decision","CN12-COUNTERPOINT","original counterpoint plate","/packages/cn12#counterpoint","native 4:5; no crop","Founder intent can support clarity or attempt to control culture indefinitely. Successors, workers, collaborators, families, communities, law, and changing conditions retain claims and agency. A responsible plan governs interpretation rather than freezing it.","RN Collins","Counterpoint card for The Institutional Will.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","7","tool","CN12-FIELD-10","original fieldwork plate","/tools#cn12-tool","native 4:5; no crop","Attach every asset and authority to its governing record or mark unresolved.","RN Collins","Fieldwork prompt for The Institutional Will.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","8","source trail","OBJ-80430","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/80430","full object with generous field","An accession-quality record preserves a house object beyond the founder’s lifetime while keeping the object, maker attribution, and museum stewardship distinct.","Gift of James A. and Mary Elizabeth Kingsland, 1994","Elaborate House of Worth silk fancy dress costume with a fitted bodice, dark patterned skirt, and dramatic decorative sleeves, around 1893.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
