carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","B07-TITLE","original title plate","/packages/b07","native 4:5; no crop","An independent designer can operate a rigorous research department by making questions, sources, permissions, interpretation, counterevidence, and retrieval part of the studio rhythm.","RN Collins","Title plate for The Independent Designer’s Research Department.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-157996","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/157996","full object with generous field","A less-remembered house remains researchable because its object record survives.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art; Gift of Marion Litchfield, 1950","Pale silk afternoon dress by Jeanne Hallée, shown from the front at a three-quarter angle.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","B07-DIAGRAM-1","original evidence diagram","/packages/b07","native 4:5 diagram; preserve labels and evidence footer","01 · ASK — Can the question change the work?. Frame a bounded design or institutional question, a decision date, relevant communities, and evidence that would require revision. “Inspiration” is too broad to audit.","Concept and editorial design: RN Collins","Diagram mapping can the question change the work? within The Independent Designer’s Research Department.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","B07-DIAGRAM-2","original evidence diagram","/packages/b07","native 4:5 diagram; preserve labels and evidence footer","02 · SOURCE — Can each reference be recovered?. Preserve creator, title, date, institution, identifier, canonical URL, access date, rights statement, excerpt limits, and local notes. Keep link-only records visible without copying restricted media.","Concept and editorial design: RN Collins","Diagram mapping can each reference be recovered? within The Independent Designer’s Research Department.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","B07-DIAGRAM-3","original evidence diagram","/packages/b07","native 4:5 diagram; preserve labels and evidence footer","03 · INTERPRET — Where does fact end and judgment begin?. Write source description, studio inference, transformation, disagreement, and cultural-authority question in separate fields. This prevents an appealing object from being made to prove more than its record supports.","Concept and editorial design: RN Collins","Diagram mapping where does fact end and judgment begin? within The Independent Designer’s Research Department.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","B07-DIAGRAM-4","original evidence diagram","/packages/b07","native 4:5 diagram; preserve labels and evidence footer","04 · RETURN — What did research change?. Attach the altered silhouette, material, process, refusal, claim, credit, or archive rule to the source trail. If nothing changed, record why the reference was rejected rather than laundering it into a mood board.","Concept and editorial design: RN Collins","Diagram mapping what did research change? within The Independent Designer’s Research Department.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
"A","8","action","S21","canonical public record card","https://artsandculture.google.com/partner/fondazione-gianfranco-ferre","typographic record excerpt; do not reproduce protected imagery","Gianfranco Ferré Research Center is retained as evidence, education, reporting or rights context.","Politecnico di Milano / Google Arts & Culture","Source card for Gianfranco Ferré Research Center, credited to Politecnico di Milano / Google Arts & Culture.","Use an official embed only if offered; otherwise link only.","LINK_ONLY"
"B","1","provocation","B07-TITLE","original title plate","/packages/b07","native 4:5; no crop","An independent designer can operate a rigorous research department by making questions, sources, permissions, interpretation, counterevidence, and retrieval part of the studio rhythm.","RN Collins","Title plate for The Independent Designer’s Research Department.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","B07-DIAGRAM-3","original evidence diagram","/packages/b07","native 4:5 diagram; preserve labels and evidence footer","03 · INTERPRET — Where does fact end and judgment begin?. Write source description, studio inference, transformation, disagreement, and cultural-authority question in separate fields. This prevents an appealing object from being made to prove more than its record supports.","Concept and editorial design: RN Collins","Diagram mapping where does fact end and judgment begin? within The Independent Designer’s Research Department.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","B07-DIAGRAM-4","original evidence diagram","/packages/b07","native 4:5 diagram; preserve labels and evidence footer","04 · RETURN — What did research change?. Attach the altered silhouette, material, process, refusal, claim, credit, or archive rule to the source trail. If nothing changed, record why the reference was rejected rather than laundering it into a mood board.","Concept and editorial design: RN Collins","Diagram mapping what did research change? within The Independent Designer’s Research Department.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S08","canonical public record card","https://www.loc.gov/static/programs/digital-preservation/personal-digital-archiving/","typographic record excerpt; do not reproduce protected imagery","Personal Digital Archiving is retained as evidence, education, reporting or rights context.","Library of Congress","Source card for Personal Digital Archiving, credited to Library of Congress.","Link and quote narrowly; check each downloadable resource before redistribution.","LINK_ONLY"
