carousel,frame,role,asset_id,visual_type,source,crop,caption,credit,alt,rights,disposition
"A","1","hook","B02-TITLE","original title plate","/packages/b02","native 4:5; no crop","A designer develops recognizable codes by making recurring decisions legible across difference—not by repeating a logo, freezing one silhouette, or declaring an abstract aesthetic owned.","RN Collins","Title plate for How Does a Designer Develop Recognizable Codes?.","Original publication graphic","ORIGINAL_DIAGRAM"
"A","2","material witness","OBJ-159187","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/159187","full object with generous field","The record separates the material dress, House of Worth attribution, Charles Frederick Worth design credit, accession, and the museum’s present custody.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of the Princess Viggo in accordance with the wishes of the Misses Hewitt, 1931","Ivory and blue silk evening dress with a fitted bodice, deep neckline, and long trained skirt, designed by Charles Frederick Worth around 1882.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
"A","3","claim","B02-DIAGRAM-1","original evidence diagram","/packages/b02","native 4:5 diagram; preserve labels and evidence footer","01 · NOTICE — What actually recurs?. Sample complete bodies of work, not isolated hero images. Code observable decisions—proportion, line, volume, material, construction, color, finish, movement, casting, image, language, refusal—and keep fact separate from critical interpretation.","Concept and editorial design: RN Collins","Diagram mapping what actually recurs? within How Does a Designer Develop Recognizable Codes?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","4","mechanism","B02-DIAGRAM-2","original evidence diagram","/packages/b02","native 4:5 diagram; preserve labels and evidence footer","02 · NAME — Can the decision be described without mystique?. Write each code as a decision with range and rationale: what changes, what stays, what problem it solves, who contributes, and which exception proves that the principle is alive rather than decorative repetition.","Concept and editorial design: RN Collins","Diagram mapping can the decision be described without mystique? within How Does a Designer Develop Recognizable Codes?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","5","handoff","B02-DIAGRAM-3","original evidence diagram","/packages/b02","native 4:5 diagram; preserve labels and evidence footer","03 · TEST — Can another person recognize and challenge it?. Use blind comparisons, counterexamples, fittings, material trials, and collaborator critique. Record disagreement. If recognition depends entirely on founder explanation, the code has not yet become shared institutional knowledge.","Concept and editorial design: RN Collins","Diagram mapping can another person recognize and challenge it? within How Does a Designer Develop Recognizable Codes?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","6","evidence","B02-DIAGRAM-4","original evidence diagram","/packages/b02","native 4:5 diagram; preserve labels and evidence footer","04 · BOUND — What is cultural signal, and what is a legal asset?. Separate reputation and visual resemblance from exact copyrighted expression, registered marks, design rights, contracts, confidential information, and other evidence. A codebook supports practice; it does not create a monopoly over style.","Concept and editorial design: RN Collins","Diagram mapping what is cultural signal, and what is a legal asset? within How Does a Designer Develop Recognizable Codes?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"A","7","counterpoint","S72","canonical public record card","https://archiveondemand.fitnyc.edu/item/136318","typographic record excerpt; do not reproduce protected imagery","Interview of Christine Pupillo, Leonard Trattner, and Harry Greenberg of the Patternmaking Department is retained as evidence, education, reporting or rights context.","Fashion Institute of Technology Special Collections and College Archives","Source card for Interview of Christine Pupillo, Leonard Trattner, and Harry Greenberg of the Patternmaking Department, credited to Fashion Institute of Technology Special Collections and College Archives.","In Copyright; FIT prohibits copying, display, or upload without permission except reviewed fair use. Link to the item and do not embed its media.","LINK_ONLY"
"A","8","action","S73","canonical public record card","https://www.fitnyc.edu/academics/academic-divisions/ccps/credit/certificates/patternmaking.php","typographic record excerpt; do not reproduce protected imagery","Patternmaking certificate is retained as evidence, education, reporting or rights context.","Fashion Institute of Technology","Source card for Patternmaking certificate, credited to Fashion Institute of Technology.","Official curriculum description; paraphrase and link. Page media is not treated as open licensed.","LINK_ONLY"
"B","1","provocation","B02-TITLE","original title plate","/packages/b02","native 4:5; no crop","A designer develops recognizable codes by making recurring decisions legible across difference—not by repeating a logo, freezing one silhouette, or declaring an abstract aesthetic owned.","RN Collins","Title plate for How Does a Designer Develop Recognizable Codes?.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","2","system","B02-DIAGRAM-3","original evidence diagram","/packages/b02","native 4:5 diagram; preserve labels and evidence footer","03 · TEST — Can another person recognize and challenge it?. Use blind comparisons, counterexamples, fittings, material trials, and collaborator critique. Record disagreement. If recognition depends entirely on founder explanation, the code has not yet become shared institutional knowledge.","Concept and editorial design: RN Collins","Diagram mapping can another person recognize and challenge it? within How Does a Designer Develop Recognizable Codes?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","3","record","B02-DIAGRAM-4","original evidence diagram","/packages/b02","native 4:5 diagram; preserve labels and evidence footer","04 · BOUND — What is cultural signal, and what is a legal asset?. Separate reputation and visual resemblance from exact copyrighted expression, registered marks, design rights, contracts, confidential information, and other evidence. A codebook supports practice; it does not create a monopoly over style.","Concept and editorial design: RN Collins","Diagram mapping what is cultural signal, and what is a legal asset? within How Does a Designer Develop Recognizable Codes?.","Original publication graphic; no third-party imagery","ORIGINAL_DIAGRAM"
"B","4","constraint","S72","canonical public record card","https://archiveondemand.fitnyc.edu/item/136318","typographic record excerpt; do not reproduce protected imagery","Interview of Christine Pupillo, Leonard Trattner, and Harry Greenberg of the Patternmaking Department is retained as evidence, education, reporting or rights context.","Fashion Institute of Technology Special Collections and College Archives","Source card for Interview of Christine Pupillo, Leonard Trattner, and Harry Greenberg of the Patternmaking Department, credited to Fashion Institute of Technology Special Collections and College Archives.","In Copyright; FIT prohibits copying, display, or upload without permission except reviewed fair use. Link to the item and do not embed its media.","LINK_ONLY"
"B","5","case","S73","canonical public record card","https://www.fitnyc.edu/academics/academic-divisions/ccps/credit/certificates/patternmaking.php","typographic record excerpt; do not reproduce protected imagery","Patternmaking certificate is retained as evidence, education, reporting or rights context.","Fashion Institute of Technology","Source card for Patternmaking certificate, credited to Fashion Institute of Technology.","Official curriculum description; paraphrase and link. Page media is not treated as open licensed.","LINK_ONLY"
"B","6","decision","B02-COUNTERPOINT","original counterpoint plate","/packages/b02#counterpoint","native 4:5; no crop","Codification can turn a living practice into a checklist, reward self-copying, erase collaborators, and encourage overbroad ownership claims. The countermeasure is to document exceptions, disputed authorship, outside influence, community knowledge, failed experiments, and the conditions under which a code should change.","RN Collins","Counterpoint card for How Does a Designer Develop Recognizable Codes?.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","7","tool","B02-FIELD-10","original fieldwork plate","/tools#b02-tool","native 4:5; no crop","Write five proposed codes, then attach two counterexamples and one deliberate exception to each.","RN Collins","Fieldwork prompt for How Does a Designer Develop Recognizable Codes?.","Original publication graphic","ORIGINAL_DIAGRAM"
"B","8","source trail","OBJ-159187","rights-cleared collection object","https://www.metmuseum.org/art/collection/search/159187","full object with generous field","The record separates the material dress, House of Worth attribution, Charles Frederick Worth design credit, accession, and the museum’s present custody.","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of the Princess Viggo in accordance with the wishes of the Misses Hewitt, 1931","Ivory and blue silk evening dress with a fitted bodice, deep neckline, and long trained skirt, designed by Charles Frederick Worth around 1882.","Public Domain / Met Open Access","PUBLIC_DOMAIN_CC0"
